Q1,Q42,Q15,Q17_1,Q17_2,Q17_3,Q17_4
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2022,Moderately interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Spring 2023,Slightly interested,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
University of Arizona,Spring 2023,Slightly interested,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
University of Arizona,Spring 2023,Slightly interested,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Spring 2023,Very interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Spring 2023,Very interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Slightly interested,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Very interested,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
University of Arizona,Spring 2023,Slightly interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2023,Slightly interested,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2023,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2023,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Fall 2023,Moderately interested,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2023,Not interested at all,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
University of Arizona,Fall 2023,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Moderately interested,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2023,Slightly interested,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree
University of Arizona,Fall 2023,Not interested at all,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree
University of Arizona,Fall 2023,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2023,Moderately interested,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2023,Slightly interested,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2023,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Slightly interested,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2023,Very interested,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2023,Very interested,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2023,Not interested at all,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Slightly interested,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree
University of Arizona,Fall 2023,Very interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2023,Very interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2023,Very interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Fall 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Fall 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2023,Slightly interested,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2023,Moderately interested,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Slightly interested,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
University of Arizona,Spring 2024,Not interested at all,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree
University of Arizona,Spring 2024,Slightly interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2024,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
University of Arizona,Spring 2024,Moderately interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2024,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Slightly interested,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Very interested,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Spring 2024,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2024,Very interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2023,Slightly interested,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
University of Arizona,Spring 2024,Extremely interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2024,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2024,Slightly interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
University of Arizona,Spring 2024,Slightly interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Spring 2024,Slightly interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Slightly interested,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree
University of Arizona,Spring 2024,Slightly interested,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree
University of Arizona,Spring 2024,Moderately interested,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree
University of Arizona,Fall 2024,Very interested,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
University of Arizona,Fall 2024,Slightly interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2024,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2023,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Slightly interested,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Slightly interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2024,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2024,Very interested,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Fall 2024,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Slightly interested,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Very interested,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2024,Slightly interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Fall 2024,Moderately interested,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2023,Slightly interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
University of Arizona,Fall 2024,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2024,Moderately interested,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2024,Very interested,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
